index,session_id,total_pages,avg_scroll_depth,avg_mouse_movements,avg_time_on_page,user_id,first_timestamp,last_timestamp,session_duration_sec,requests_per_sec,bot_score,classification,actual_label,if_baseline_pred,if_baseline_bot,pages_per_min,scroll_per_sec,if_pred,if_anomaly_score,if_bot,svm_pred,svm_bot,final_bot
1019,S001020,14,55.71428571428572,52.285714285714285,51.0,A1020,2024-01-15 06:07:13.000000,2024-01-15 06:11:33.000000,260.0,0.0538461538461538,0,Human,Bot,-1,1,3.230769230769231,0.2142857142857143,-1,-0.6048506912766373,1,1,0,1
1020,S001021,12,64.16666666666667,51.16666666666666,41.333333333333336,A1021,2024-01-01 04:06:00.000000,2024-01-01 04:09:40.000000,220.0,0.0545454545454545,0,Human,Bot,1,0,3.272727272727273,0.2916666666666667,-1,-0.5871136253304252,1,1,0,1
1021,S001022,7,62.85714285714285,52.85714285714285,41.71428571428572,A1022,2024-01-25 07:02:52.000000,2024-01-25 07:04:52.000000,120.0,0.0583333333333333,0,Human,Bot,-1,1,3.5,0.5238095238095237,-1,-0.6258563201324719,1,1,0,1
1022,S001023,10,63.8,45.5,52.7,A1023,2024-01-09 05:05:22.000000,2024-01-09 05:08:22.000000,180.0,0.0555555555555555,0,Human,Bot,-1,1,3.333333333333333,0.3544444444444444,-1,-0.5844711936235665,1,1,0,1
1023,S001024,9,60.66666666666666,52.11111111111112,36.11111111111112,A1024,2024-01-10 16:05:21.000000,2024-01-10 16:08:01.000000,160.0,0.05625,0,Human,Bot,1,0,3.375,0.3791666666666666,-1,-0.5871600977290505,1,1,0,1
1024,S001025,7,56.0,46.71428571428572,46.85714285714285,A1025,2024-01-06 14:03:59.000000,2024-01-06 14:05:59.000000,120.0,0.0583333333333333,0,Human,Bot,-1,1,3.5,0.4666666666666667,-1,-0.6310251131077603,1,1,0,1
1025,S001026,6,60.5,48.0,39.333333333333336,A1026,2024-01-30 12:02:43.000000,2024-01-30 12:04:23.000000,100.0,0.06,0,Human,Bot,-1,1,3.6,0.605,-1,-0.6532166045645543,1,1,0,1
1026,S001027,8,64.375,40.5,46.75,A1027,2024-01-14 03:04:32.000000,2024-01-14 03:06:52.000000,140.0,0.0571428571428571,0,Human,Bot,-1,1,3.4285714285714284,0.4598214285714285,-1,-0.6333331165476552,1,1,0,1
1027,S001028,13,60.38461538461539,52.69230769230769,43.07692307692308,A1028,2024-01-01 03:07:39.000000,2024-01-01 03:11:39.000000,240.0,0.0541666666666666,0,Human,Bot,1,0,3.25,0.2516025641025641,-1,-0.5800394520638402,1,1,0,1
1028,S001029,9,58.77777777777778,52.77777777777778,47.55555555555556,A1029,2024-01-25 11:04:39.000000,2024-01-25 11:07:19.000000,160.0,0.05625,0,Human,Bot,-1,1,3.375,0.3673611111111111,-1,-0.5931247249770008,1,1,0,1
1029,S001030,9,61.333333333333336,49.11111111111112,47.55555555555556,A1030,2024-01-15 02:05:21.000000,2024-01-15 02:08:01.000000,160.0,0.05625,0,Human,Bot,1,0,3.375,0.3833333333333333,-1,-0.5805060727512422,1,1,0,1
1030,S001031,15,55.73333333333333,45.53333333333333,46.06666666666667,A1031,2024-01-05 21:07:51.000000,2024-01-05 21:12:31.000000,280.0,0.0535714285714285,0,Human,Bot,-1,1,3.214285714285714,0.199047619047619,-1,-0.6071848866319232,1,-1,1,1
1031,S001032,10,65.4,47.7,42.3,A1032,2024-01-30 15:05:16.000000,2024-01-30 15:08:16.000000,180.0,0.0555555555555555,0,Human,Bot,-1,1,3.333333333333333,0.3633333333333333,-1,-0.5911375921234295,1,1,0,1
1032,S001033,14,59.57142857142857,60.35714285714285,52.57142857142857,A1033,2024-01-21 22:04:59.000000,2024-01-21 22:09:19.000000,260.0,0.0538461538461538,0,Human,Bot,-1,1,3.230769230769231,0.2291208791208791,-1,-0.5908774583924239,1,1,0,1
1033,S001034,12,60.583333333333336,40.583333333333336,41.91666666666666,A1034,2024-01-23 22:06:41.000000,2024-01-23 22:10:21.000000,220.0,0.0545454545454545,0,Human,Bot,-1,1,3.272727272727273,0.2753787878787879,-1,-0.5833607239847917,1,1,0,1
1034,S001035,7,62.285714285714285,45.85714285714285,55.71428571428572,A1035,2024-01-10 12:03:20.000000,2024-01-10 12:05:20.000000,120.0,0.0583333333333333,0,Human,Bot,-1,1,3.5,0.5190476190476191,-1,-0.6216814744679079,1,1,0,1
1035,S001036,7,60.57142857142857,52.142857142857146,53.71428571428572,A1036,2024-01-31 00:03:27.000000,2024-01-31 00:05:27.000000,120.0,0.0583333333333333,0,Human,Bot,-1,1,3.5,0.5047619047619047,-1,-0.6192953367403422,1,1,0,1
1036,S001037,8,70.5,54.875,54.875,A1037,2024-01-24 15:03:11.000000,2024-01-24 15:05:31.000000,140.0,0.0571428571428571,0,Human,Bot,-1,1,3.4285714285714284,0.5035714285714286,-1,-0.6335185202859714,1,-1,1,1
1037,S001038,9,49.888888888888886,48.333333333333336,44.66666666666666,A1038,2024-01-22 14:03:10.000000,2024-01-22 14:05:50.000000,160.0,0.05625,15,Human,Bot,-1,1,3.375,0.3118055555555555,-1,-0.6371756513014264,1,-1,1,1
1038,S001039,11,65.27272727272727,46.63636363636363,52.90909090909091,A1039,2024-01-29 16:04:53.000000,2024-01-29 16:08:13.000000,200.0,0.055,0,Human,Bot,-1,1,3.3,0.3263636363636363,-1,-0.5875249409013058,1,1,0,1
1039,S001040,6,65.5,55.16666666666666,52.0,A1040,2024-01-23 07:02:22.000000,2024-01-23 07:04:02.000000,100.0,0.06,0,Human,Bot,-1,1,3.6,0.655,-1,-0.6668896321657057,1,-1,1,1
1040,S001041,6,70.33333333333333,45.66666666666666,40.833333333333336,A1041,2024-01-23 08:03:28.000000,2024-01-23 08:05:08.000000,100.0,0.06,0,Human,Bot,-1,1,3.6,0.7033333333333333,-1,-0.6874343664578169,1,-1,1,1
1041,S001042,14,60.285714285714285,54.07142857142857,47.71428571428572,A1042,2024-01-17 04:08:55.000000,2024-01-17 04:13:15.000000,260.0,0.0538461538461538,0,Human,Bot,1,0,3.230769230769231,0.2318681318681318,-1,-0.5791075699963587,1,1,0,1
1042,S001043,15,59.93333333333333,46.8,47.73333333333333,A1043,2024-01-25 07:08:15.000000,2024-01-25 07:12:55.000000,280.0,0.0535714285714285,0,Human,Bot,1,0,3.214285714285714,0.214047619047619,-1,-0.5851841916659226,1,1,0,1
1043,S001044,6,58.0,50.833333333333336,48.5,A1044,2024-01-22 19:02:11.000000,2024-01-22 19:03:51.000000,100.0,0.06,0,Human,Bot,-1,1,3.6,0.58,-1,-0.6565000261790223,1,-1,1,1
1044,S001045,14,65.57142857142857,43.642857142857146,36.57142857142857,A1045,2024-01-17 00:05:26.000000,2024-01-17 00:09:46.000000,260.0,0.0538461538461538,0,Human,Bot,-1,1,3.230769230769231,0.2521978021978022,-1,-0.591072174667348,1,-1,1,1
1045,S001046,15,47.46666666666667,47.4,46.8,A1046,2024-01-01 09:06:39.000000,2024-01-01 09:11:19.000000,280.0,0.0535714285714285,15,Human,Bot,-1,1,3.214285714285714,0.1695238095238095,-1,-0.6497832819321923,1,-1,1,1
1046,S001047,11,64.0,45.45454545454545,43.54545454545455,A1047,2024-01-02 12:04:43.000000,2024-01-02 12:08:03.000000,200.0,0.055,0,Human,Bot,-1,1,3.3,0.32,-1,-0.5787491236592095,1,1,0,1
1047,S001048,7,47.285714285714285,37.285714285714285,44.285714285714285,A1048,2024-01-02 20:03:29.000000,2024-01-02 20:05:29.000000,120.0,0.0583333333333333,25,Human,Bot,-1,1,3.5,0.394047619047619,-1,-0.6922407416034816,1,-1,1,1
1048,S001049,6,70.16666666666667,57.5,40.66666666666666,A1049,2024-01-18 07:02:52.000000,2024-01-18 07:04:32.000000,100.0,0.06,0,Human,Bot,-1,1,3.6,0.7016666666666667,-1,-0.6808984573192108,1,-1,1,1
1049,S001050,12,61.833333333333336,46.333333333333336,39.083333333333336,A1050,2024-01-15 18:05:54.000000,2024-01-15 18:09:34.000000,220.0,0.0545454545454545,0,Human,Bot,1,0,3.272727272727273,0.281060606060606,-1,-0.5679641844212375,1,1,0,1
1050,S001051,15,61.266666666666666,39.266666666666666,52.8,A1051,2024-01-02 14:06:35.000000,2024-01-02 14:11:15.000000,280.0,0.0535714285714285,10,Human,Bot,-1,1,3.214285714285714,0.2188095238095238,-1,-0.6081034312262585,1,-1,1,1
1051,S001052,7,55.71428571428572,37.0,53.142857142857146,A1052,2024-01-19 12:03:11.000000,2024-01-19 12:05:11.000000,120.0,0.0583333333333333,10,Human,Bot,-1,1,3.5,0.4642857142857143,-1,-0.6541754381445334,1,1,0,1
1052,S001053,11,57.72727272727273,38.18181818181818,48.0,A1053,2024-01-27 19:05:29.000000,2024-01-27 19:08:49.000000,200.0,0.055,10,Human,Bot,-1,1,3.3,0.2886363636363636,-1,-0.6054685925786076,1,1,0,1
1053,S001054,7,55.85714285714285,64.14285714285714,68.85714285714286,A1054,2024-01-21 21:03:26.000000,2024-01-21 21:05:26.000000,120.0,0.0583333333333333,0,Human,Bot,-1,1,3.5,0.4654761904761904,-1,-0.6433420067410219,1,1,0,1
1054,S001055,12,63.91666666666666,43.66666666666666,54.5,A1055,2024-01-08 16:06:00.000000,2024-01-08 16:09:40.000000,220.0,0.0545454545454545,0,Human,Bot,-1,1,3.272727272727273,0.2905303030303029,-1,-0.5839295902924425,1,1,0,1
1055,S001056,9,68.44444444444444,49.0,45.66666666666666,A1056,2024-01-03 20:04:15.000000,2024-01-03 20:06:55.000000,160.0,0.05625,0,Human,Bot,-1,1,3.375,0.4277777777777777,-1,-0.616214049070592,1,1,0,1
1056,S001057,14,60.35714285714285,44.57142857142857,50.21428571428572,A1057,2024-01-17 21:07:11.000000,2024-01-17 21:11:31.000000,260.0,0.0538461538461538,0,Human,Bot,1,0,3.230769230769231,0.2321428571428571,-1,-0.5697666148974991,1,1,0,1
1057,S001058,11,57.45454545454545,49.81818181818182,50.81818181818182,A1058,2024-01-14 00:05:25.000000,2024-01-14 00:08:45.000000,200.0,0.055,0,Human,Bot,-1,1,3.3,0.2872727272727273,-1,-0.5804240416883638,1,1,0,1
